province_code,province,area_type,year,period,value,date,metric
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2023,Triwulan IV,303.47,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,I Penyediaan Akomodasi dan Makan Minum,2023,Tahunan,1156.14,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2022,Triwulan I,303.78,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2022,Triwulan II,316.04,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2022,Triwulan III,326.1,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2022,Triwulan IV,340.16,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2022,Tahunan,1286.08,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2023,Triwulan I,322.03,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2023,Triwulan II,346.57,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2023,Triwulan III,353.55,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2023,Triwulan IV,348.59,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,J Informasi dan Komunikasi,2023,Tahunan,1370.73,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2022,Triwulan I,565.6,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2022,Triwulan II,549.16,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2022,Triwulan III,554.7,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2022,Triwulan IV,522.72,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2022,Tahunan,2192.18,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2023,Triwulan I,521.57,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2023,Triwulan II,508.77,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2023,Triwulan III,526.94,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2023,Triwulan IV,513.16,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,K Jasa Keuangan dan Asuransi,2023,Tahunan,2070.44,2023-12-01,pdrb_adhb_quarterly
